,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,dim1,dim2
296,cadillac eldorado,23,8,350,125,3900,17.4,79,US,0.720645836758261,-0.089440593274436
297,peugeot 504,27.2,4,141,71,3190,24.8,79,Europe,-0.804391337248547,0.778428696614878
298,oldsmobile cutlass salon brougham,23.9,8,260,90,3420,22.2,79,US,0.531647166946447,-0.092341906949451
299,plymouth horizon,34.2,4,105,70,2200,13.2,79,US,-0.044777039598281,-0.131971661096228
300,plymouth horizon tc3,34.5,4,105,70,2150,14.9,79,US,-0.060526567615397,-0.131051574733511
301,datsun 210,31.8,4,85,65,2020,19.2,79,Japan,-1.03673452027755,-0.614079297260224
302,fiat strada custom,37.3,4,91,69,2130,14.7,79,Europe,-0.932565280655887,0.739494224174021
303,buick skylark limited,28.4,4,151,90,2670,16,79,US,0.072725271407432,-0.113297328338712
304,chevrolet citation,28.8,6,173,115,2595,11.3,79,US,0.299471549379789,-0.11935106304748
305,oldsmobile omega brougham,26.8,6,173,115,2700,12.9,79,US,0.310164908178876,-0.113163399982717
306,pontiac phoenix,33.5,4,151,90,2556,13.2,79,US,0.049917631828716,-0.12618336261061
307,vw rabbit,41.5,4,98,76,2144,14.7,80,Europe,-0.95439960153147,0.717109362974647
308,toyota corolla tercel,38.1,4,89,60,1968,18.8,80,Japan,-1.09069203898244,-0.641690666272581
309,chevrolet chevette,32.1,4,98,70,2120,15.5,80,US,-0.070113497222025,-0.14237903580657
310,datsun 310,37.2,4,86,65,2019,16.4,80,Japan,-1.06374504292818,-0.642148513967912
311,chevrolet citation,28,4,151,90,2678,16.5,80,US,0.060686310330133,-0.127732933581301
312,ford fairmont,26.4,4,140,88,2870,18.1,80,US,0.064115561521495,-0.121560744364869
313,amc concord,24.3,4,151,90,3003,20.1,80,US,0.086913222892293,-0.114328379572464
314,dodge aspen,19.1,6,225,90,3381,18.7,80,US,0.377311464408353,-0.103730703687252
315,audi 4000,34.3,4,97,78,2188,15.8,80,Europe,-0.912955433234145,0.731084188333484
316,toyota corona liftback,29.8,4,134,90,2711,15.5,80,Japan,-0.88982854606781,-0.622545846766612
317,mazda 626,31.3,4,120,75,2542,17.5,80,Japan,-0.95348168340804,-0.625249413582703
318,datsun 510 hatchback,37,4,119,92,2434,15,80,Japan,-0.961829100112896,-0.637968061242208
319,toyota corolla,32.2,4,108,75,2265,15.2,80,Japan,-0.977077625845814,-0.632056411058847
320,mazda glc,46.6,4,86,65,2110,17.9,80,Japan,-1.12159911033234,-0.655581114283977
321,dodge colt,27.9,4,156,105,2800,14.4,80,US,0.105283960414404,-0.12802144033719
322,datsun 210,40.8,4,85,65,2110,19.2,80,Japan,-1.09551031014612,-0.644273272519654
323,vw rabbit c (diesel),44.3,4,90,48,2085,21.7,80,Europe,-1.0571254853216,0.718265400678485
324,vw dasher (diesel),43.4,4,90,48,2335,23.7,80,Europe,-1.04402037436637,0.724407229462643
325,audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,Europe,-0.80342448935919,0.738611173741497
326,mercedes-benz 240d,30,4,146,67,3250,21.8,80,Europe,-0.811296633594893,0.754969143969442
327,honda civic 1500 gl,44.6,4,91,67,1850,13.8,80,Japan,-1.09915933952488,-0.659116838811713
328,subaru dl,33.8,4,97,67,2145,18,80,Japan,-1.03137132736078,-0.633221158602126
329,vokswagen rabbit,29.8,4,89,62,1845,15.3,80,Europe,-0.93574130177698,0.734116359943104
330,datsun 280-zx,32.7,6,168,132,2910,11.4,80,Japan,-0.629775276340862,-0.628703763255783
331,mazda rx-7 gs,23.7,3,70,100,2420,12.5,80,Japan,-0.980173815287175,-0.617864004997943
332,triumph tr7 coupe,35,4,122,88,2500,15.1,80,Europe,-0.855564624316823,0.7326930715283
333,honda accord,32.4,4,107,72,2290,17,80,Japan,-0.991364192065057,-0.630290103242509
334,plymouth reliant,27.2,4,135,84,2490,15.7,81,US,0.02272539294223,-0.145184158775421
335,buick skylark,26.6,4,151,84,2635,16.4,81,US,0.047046966380315,-0.14190734321087
336,dodge aries wagon (sw),25.8,4,156,92,2620,14.4,81,US,0.07620173705316,-0.142523373521075
337,chevrolet citation,23.5,6,173,110,2725,12.6,81,US,0.303457902853387,-0.139391845235956
338,plymouth reliant,30,4,135,84,2385,12.9,81,US,0.014349775650738,-0.154075731473616
339,toyota starlet,39.1,4,79,58,1755,16.9,81,Japan,-1.12502347492303,-0.663445790130087
340,plymouth champ,39,4,86,64,1875,16.4,81,US,-0.165155970713985,-0.171529295514922
341,honda civic 1300,35.1,4,81,60,1760,16.1,81,Japan,-1.09196154270858,-0.657389808126441
342,subaru,32.3,4,97,67,2065,17.8,81,Japan,-1.03959044386606,-0.647406215634857
343,datsun 210 mpg,37,4,85,65,1975,19.4,81,Japan,-1.09666758592745,-0.654622973224327
344,toyota tercel,37.7,4,89,62,2050,17.3,81,Japan,-1.0827462289999,-0.657570455423237
345,mazda glc 4,34.1,4,91,68,1985,16,81,Japan,-1.0498408312239,-0.653230221729415
346,plymouth horizon 4,34.7,4,105,63,2215,14.9,81,US,-0.0891440197235,-0.162607214601996
347,ford escort 4w,34.4,4,98,65,2045,16.2,81,US,-0.111880839041089,-0.162202323946276
348,ford escort 2h,29.9,4,98,65,2380,20.7,81,US,-0.085416309715991,-0.146335045793183
349,volkswagen jetta,33,4,105,74,2190,14.2,81,Europe,-0.905662409051224,0.715629239026695
350,renault 18i,34.5,4,100,57,2320,15.8,81,Europe,-0.938325527038402,0.71527484515499
351,honda prelude,33.7,4,107,75,2210,14.4,81,Japan,-0.99854711489583,-0.65178127816576
352,toyota corolla,32.4,4,108,75,2350,16.8,81,Japan,-0.993176706317649,-0.645549047752264
353,datsun 200sx,32.9,4,119,100,2615,14.8,81,Japan,-0.924612874957473,-0.644881411710155
354,mazda 626,31.6,4,120,74,2635,18.3,81,Japan,-0.966011139628655,-0.639779339433422
355,peugeot 505s turbo diesel,28.1,4,141,80,3230,20.4,81,Europe,-0.794132088786684,0.741270482046931
356,volvo diesel,30.7,6,145,76,3160,19.6,81,Europe,-0.652849494627174,0.734419260177697
357,toyota cressida,25.4,6,168,116,2900,12.6,81,Japan,-0.625179007175611,-0.631551945258991
358,datsun 810 maxima,24.2,6,146,120,2930,13.8,81,Japan,-0.636624058734046,-0.627829039450723
359,buick century,22.4,6,231,110,3415,15.8,81,US,0.394148515034796,-0.127038867719789
360,oldsmobile cutlass ls,26.6,8,350,105,3725,19,81,US,0.628065050874924,-0.127871445083552
361,ford granada gl,20.2,6,200,88,3060,17.1,81,US,0.319472287561313,-0.126435544631698
362,chrysler lebaron salon,17.6,6,225,85,3465,16.6,81,US,0.387211583379142,-0.118723587822302
363,chevrolet cavalier,28,4,112,88,2605,19.6,82,US,-0.022910109923855,-0.156787035061607
364,chevrolet cavalier wagon,27,4,112,88,2640,18.6,82,US,-0.008293163464243,-0.155875576143609
365,chevrolet cavalier 2-door,34,4,112,88,2395,18,82,US,-0.065691231840829,-0.170769250451471
366,pontiac j2000 se hatchback,31,4,112,85,2575,16.2,82,US,-0.026629951648494,-0.16612032084018
367,dodge aries se,29,4,135,84,2525,16,82,US,0.000849243966638,-0.163326764230969
368,pontiac phoenix,27,4,151,90,2735,18,82,US,0.038053764302272,-0.15531515209913
369,ford fairmont futura,24,4,140,92,2865,16.4,82,US,0.068654543134514,-0.150748055449495
370,amc concord dl,23,4,151,88,3035,20.5,82,US,0.068242055400204,-0.142964257060641
371,volkswagen rabbit l,36,4,105,74,1980,15.3,82,Europe,-0.958592875368062,0.694018899929651
372,mazda glc custom l,37,4,91,68,2025,18.2,82,Japan,-1.0891216249532,-0.67106658396987
373,mazda glc custom,31,4,91,68,1970,17.6,82,Japan,-1.0540649114247,-0.662062905498545
374,plymouth horizon miser,38,4,105,63,2125,14.7,82,US,-0.126795182585418,-0.185045216711279
375,mercury lynx l,36,4,98,70,2125,17.3,82,US,-0.127833290991039,-0.178446564856419
376,nissan stanza xe,36,4,120,88,2160,14.5,82,Japan,-1.00243544458002,-0.671113147959792
377,honda accord,36,4,107,75,2205,14.5,82,Japan,-1.02535421878151,-0.671377210214867
378,toyota corolla,34,4,108,70,2245,16.9,82,Japan,-1.02956611782749,-0.665139348995028
379,honda civic,38,4,91,67,1965,15,82,Japan,-1.08205722503007,-0.676967104508778
380,honda civic (auto),32,4,91,67,1965,15.7,82,Japan,-1.05038230978733,-0.665985378786933
381,datsun 310 gx,38,4,91,67,1995,16.2,82,Japan,-1.0868034093455,-0.675338257035263
382,buick century limited,25,6,181,110,2945,16.4,82,US,0.283923658852771,-0.151300124559932
383,oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,82,US,0.247092883804969,-0.172743061213898
384,chrysler lebaron medallion,26,4,156,92,2585,14.5,82,US,0.059582415214861,-0.158834765344053
385,ford granada l,22,6,232,112,2835,14.7,82,US,0.348795886226085,-0.14874504100722
386,toyota celica gt,32,4,144,96,2665,13.9,82,Japan,-0.905708119454728,-0.659673324799973
387,dodge charger 2.2,36,4,135,84,2370,13,82,US,-0.035323779850436,-0.180055050235556
388,chevrolet camaro,27,4,151,90,2950,17.3,82,US,0.059008019509008,-0.154059534087373
389,ford mustang gl,27,4,140,86,2790,15.6,82,US,0.042484162062437,-0.157736985676985
390,vw pickup,44,4,97,52,2130,24.6,82,Europe,-1.08247661140038,0.691178736291635
391,dodge rampage,32,4,135,84,2295,11.6,82,US,-0.0090403884289,-0.175536467104852
392,ford ranger,28,4,120,79,2625,18.6,82,US,-0.019356600037597,-0.158092504420995
393,chevy s-10,31,4,119,82,2720,19.4,82,US,-0.031843385584003,-0.161258720093026
