,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,dim1,dim2
296,cadillac eldorado,23,8,350,125,3900,17.4,79,US,0.524259485918828,-0.475421627394738
297,peugeot 504,27.2,4,141,71,3190,24.8,79,Europe,-0.458419907432748,-0.155423861353588
298,oldsmobile cutlass salon brougham,23.9,8,260,90,3420,22.2,79,US,0.247010060288639,-0.405637906654235
299,plymouth horizon,34.2,4,105,70,2200,13.2,79,US,-0.557226430632575,-0.103902038125918
300,plymouth horizon tc3,34.5,4,105,70,2150,14.9,79,US,-0.581992353121626,-0.102916240355341
301,datsun 210,31.8,4,85,65,2020,19.2,79,Japan,-0.648212856414078,-0.079280058493283
302,fiat strada custom,37.3,4,91,69,2130,14.7,79,Europe,-0.624315751253945,-0.104202411359769
303,buick skylark limited,28.4,4,151,90,2670,16,79,US,-0.393101763271073,-0.137646733276995
304,chevrolet citation,28.8,6,173,115,2595,11.3,79,US,-0.06115381691998,-0.245950721431451
305,oldsmobile omega brougham,26.8,6,173,115,2700,12.9,79,US,-0.048288455173671,-0.245949521059423
306,pontiac phoenix,33.5,4,151,90,2556,13.2,79,US,-0.421536638261194,-0.14637358089296
307,vw rabbit,41.5,4,98,76,2144,14.7,80,Europe,-0.661210837673117,-0.200568676018658
308,toyota corolla tercel,38.1,4,89,60,1968,18.8,80,Japan,-0.731715212047498,-0.173738338312348
309,chevrolet chevette,32.1,4,98,70,2120,15.5,80,US,-0.602701308935616,-0.16840465469056
310,datsun 310,37.2,4,86,65,2019,16.4,80,Japan,-0.689266868216821,-0.172762828516462
311,chevrolet citation,28,4,151,90,2678,16.5,80,US,-0.417428331024592,-0.21440901459163
312,ford fairmont,26.4,4,140,88,2870,18.1,80,US,-0.414942230181513,-0.214946266474479
313,amc concord,24.3,4,151,90,3003,20.1,80,US,-0.385502843158233,-0.221632582137585
314,dodge aspen,19.1,6,225,90,3381,18.7,80,US,0.027093914557326,-0.353030142813173
315,audi 4000,34.3,4,97,78,2188,15.8,80,Europe,-0.603456087756984,-0.180958238808446
316,toyota corona liftback,29.8,4,134,90,2711,15.5,80,Japan,-0.43924463546519,-0.2140290020325
317,mazda 626,31.3,4,120,75,2542,17.5,80,Japan,-0.534072595865538,-0.200163464602744
318,datsun 510 hatchback,37,4,119,92,2434,15,80,Japan,-0.540080258137353,-0.215767748230106
319,toyota corolla,32.2,4,108,75,2265,15.2,80,Japan,-0.563759430632092,-0.182084253079671
320,mazda glc,46.6,4,86,65,2110,17.9,80,Japan,-0.773926857109886,-0.207720275714089
321,dodge colt,27.9,4,156,105,2800,14.4,80,US,-0.349278360621122,-0.226232786891976
322,datsun 210,40.8,4,85,65,2110,19.2,80,Japan,-0.738541258454925,-0.189660860080774
323,vw rabbit c (diesel),44.3,4,90,48,2085,21.7,80,Europe,-0.820747872059692,-0.197563058181281
324,vw dasher (diesel),43.4,4,90,48,2335,23.7,80,Europe,-0.805185365749521,-0.208891053639445
325,audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,Europe,-0.456456347667357,-0.28507753309292
326,mercedes-benz 240d,30,4,146,67,3250,21.8,80,Europe,-0.471263641104684,-0.244467781349956
327,honda civic 1500 gl,44.6,4,91,67,1850,13.8,80,Japan,-0.735773255685389,-0.188611030514551
328,subaru dl,33.8,4,97,67,2145,18,80,Japan,-0.645611678418636,-0.174828651126175
329,vokswagen rabbit,29.8,4,89,62,1845,15.3,80,Europe,-0.636642560129881,-0.140254407713352
330,datsun 280-zx,32.7,6,168,132,2910,11.4,80,Japan,-0.059165725661783,-0.355162641500319
331,mazda rx-7 gs,23.7,3,70,100,2420,12.5,80,Japan,-0.559919227731307,-0.105295526152845
332,triumph tr7 coupe,35,4,122,88,2500,15.1,80,Europe,-0.520544400122541,-0.213172887696691
333,honda accord,32.4,4,107,72,2290,17,80,Japan,-0.587033715266822,-0.183503667088925
334,plymouth reliant,27.2,4,135,84,2490,15.7,81,US,-0.476917492697841,-0.270265154645844
335,buick skylark,26.6,4,151,84,2635,16.4,81,US,-0.443914059367272,-0.28330872663136
336,dodge aries wagon (sw),25.8,4,156,92,2620,14.4,81,US,-0.398655380157729,-0.283647228810893
337,chevrolet citation,23.5,6,173,110,2725,12.6,81,US,-0.071027810844857,-0.390089378647539
338,plymouth reliant,30,4,135,84,2385,12.9,81,US,-0.484797252574456,-0.272258536109846
339,toyota starlet,39.1,4,79,58,1755,16.9,81,Japan,-0.784122802412709,-0.237201603091664
340,plymouth champ,39,4,86,64,1875,16.4,81,US,-0.745971416486472,-0.247835317214785
341,honda civic 1300,35.1,4,81,60,1760,16.1,81,Japan,-0.735693558753441,-0.2260311706698
342,subaru,32.3,4,97,67,2065,17.8,81,Japan,-0.663404716010858,-0.243162675157941
343,datsun 210 mpg,37,4,85,65,1975,19.4,81,Japan,-0.746763980851477,-0.24803139760155
344,toyota tercel,37.7,4,89,62,2050,17.3,81,Japan,-0.724588443720821,-0.254159734768223
345,mazda glc 4,34.1,4,91,68,1985,16,81,Japan,-0.675072953167456,-0.241479180693334
346,plymouth horizon 4,34.7,4,105,63,2215,14.9,81,US,-0.636685913232256,-0.259700197241191
347,ford escort 4w,34.4,4,98,65,2045,16.2,81,US,-0.670222460307026,-0.24784220095458
348,ford escort 2h,29.9,4,98,65,2380,20.7,81,US,-0.639232734582838,-0.253476093281612
349,volkswagen jetta,33,4,105,74,2190,14.2,81,Europe,-0.598051197425786,-0.255962079982092
350,renault 18i,34.5,4,100,57,2320,15.8,81,Europe,-0.649064501371131,-0.261122963016008
351,honda prelude,33.7,4,107,75,2210,14.4,81,Japan,-0.599593281773834,-0.26046365264394
352,toyota corolla,32.4,4,108,75,2350,16.8,81,Japan,-0.595509275422286,-0.265294350794452
353,datsun 200sx,32.9,4,119,100,2615,14.8,81,Japan,-0.49240419635522,-0.292167141783486
354,mazda 626,31.6,4,120,74,2635,18.3,81,Japan,-0.559754095279385,-0.283475228265121
355,peugeot 505s turbo diesel,28.1,4,141,80,3230,20.4,81,Europe,-0.449424316333954,-0.315868009772747
356,volvo diesel,30.7,6,145,76,3160,19.6,81,Europe,-0.247966782032949,-0.41673800768956
357,toyota cressida,25.4,6,168,116,2900,12.6,81,Japan,-0.062833280933659,-0.404946254008926
358,datsun 810 maxima,24.2,6,146,120,2930,13.8,81,Japan,-0.079659608230792,-0.394957145175981
359,buick century,22.4,6,231,110,3415,15.8,81,US,0.051076045232106,-0.449766012927724
360,oldsmobile cutlass ls,26.6,8,350,105,3725,19,81,US,0.374771829998922,-0.626988631239655
361,ford granada gl,20.2,6,200,88,3060,17.1,81,US,-0.058636222760012,-0.404711375858189
362,chrysler lebaron salon,17.6,6,225,85,3465,16.6,81,US,0.036931283789542,-0.427799832970686
363,chevrolet cavalier,28,4,112,88,2605,19.6,82,US,-0.552786132966219,-0.349171268689741
364,chevrolet cavalier wagon,27,4,112,88,2640,18.6,82,US,-0.530597279947428,-0.347465947736578
365,chevrolet cavalier 2-door,34,4,112,88,2395,18,82,US,-0.611248379387395,-0.356133280551186
366,pontiac j2000 se hatchback,31,4,112,85,2575,16.2,82,US,-0.553673739071237,-0.354641606110871
367,dodge aries se,29,4,135,84,2525,16,82,US,-0.515015286507762,-0.355274984449977
368,pontiac phoenix,27,4,151,90,2735,18,82,US,-0.464773438131857,-0.369701066134816
369,ford fairmont futura,24,4,140,92,2865,16.4,82,US,-0.418481230986775,-0.362347694197605
370,amc concord dl,23,4,151,88,3035,20.5,82,US,-0.425890433813744,-0.3735958056154
371,volkswagen rabbit l,36,4,105,74,1980,15.3,82,Europe,-0.681222366948262,-0.3320550913735
372,mazda glc custom l,37,4,91,68,2025,18.2,82,Japan,-0.740643548918945,-0.331021444181886
373,mazda glc custom,31,4,91,68,1970,17.6,82,Japan,-0.689777141110112,-0.309025970677513
374,plymouth horizon miser,38,4,105,63,2125,14.7,82,US,-0.696408470738026,-0.342553539532929
375,mercury lynx l,36,4,98,70,2125,17.3,82,US,-0.700403719674348,-0.336426018486484
376,nissan stanza xe,36,4,120,88,2160,14.5,82,Japan,-0.610378900016595,-0.351864357787241
377,honda accord,36,4,107,75,2205,14.5,82,Japan,-0.644388108772722,-0.344828908453173
378,toyota corolla,34,4,108,70,2245,16.9,82,Japan,-0.654488305136788,-0.340684078834278
379,honda civic,38,4,91,67,1965,15,82,Japan,-0.72614570717491,-0.32929779578703
380,honda civic (auto),32,4,91,67,1965,15.7,82,Japan,-0.681989269218662,-0.310785347463343
381,datsun 310 gx,38,4,91,67,1995,16.2,82,Japan,-0.734628928854484,-0.331408842235235
382,buick century limited,25,6,181,110,2945,16.4,82,US,-0.111172064447945,-0.488956578663666
383,oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,82,US,-0.170354733942747,-0.561386076619344
384,chrysler lebaron medallion,26,4,156,92,2585,14.5,82,US,-0.428895216727284,-0.359832971749938
385,ford granada l,22,6,232,112,2835,14.7,82,US,-0.017525207871996,-0.495601059328746
386,toyota celica gt,32,4,144,96,2665,13.9,82,Japan,-0.472019267449513,-0.378626058491737
387,dodge charger 2.2,36,4,135,84,2370,13,82,US,-0.562165362808894,-0.367693945669045
388,chevrolet camaro,27,4,151,90,2950,17.3,82,US,-0.434196293493591,-0.380828890389712
389,ford mustang gl,27,4,140,86,2790,15.6,82,US,-0.455343580230521,-0.365665695549915
390,vw pickup,44,4,97,52,2130,24.6,82,Europe,-0.873610324465253,-0.359211994567682
391,dodge rampage,32,4,135,84,2295,11.6,82,US,-0.522654813294888,-0.350562316065881
392,ford ranger,28,4,120,79,2625,18.6,82,US,-0.547766528279699,-0.350625470237781
393,chevy s-10,31,4,119,82,2720,19.4,82,US,-0.566377294178915,-0.365873142682687
